year_month,time,pCO2_ave,pCO2_SE,PAR,WT,WT_SE,dpCO2T_obs,dpCO2T_obs_se,dpCO2T_model
2023_03_05,15.23624339,1894.408595,217.3743825,871.7534314,19.19474566,0.571298236,27.53884446,85.35912353,40.40200139
2023_03_05,15.73624339,1895.770229,219.4517867,608.7527657,19.10373969,0.581489773,9.08505706,84.4644143,64.07553006
2023_03_05,16.23624339,1842.986719,219.2896816,559.8129757,19.01017617,0.555324594,-40.3692972,89.46581731,62.72592541
2023_03_05,16.72997558,1839.14384,213.459133,354.93875,19.04294759,0.561028052,-25.19534658,97.02165766,88.95246869
2023_03_05,17.22997558,1961.909564,206.4204056,157.3899829,18.87296428,0.538042121,124.5173555,80.82484313,99.10237912
2023_03_05,17.72997558,2093.849904,247.378173,90.10075429,18.74474015,0.536630539,143.9566806,89.01481027,97.27829792
2023_03_05,18.22997558,2156.429184,264.9058796,37.55788857,18.65229491,0.522908844,68.24204041,57.90690812,96.43063275
2023_03_05,18.72997558,2189.56038,261.7402857,5.34496,18.55406619,0.516200969,39.32831769,66.5104883,92.79035571
2023_03_05,19.22997558,2249.027215,261.4536034,0,18.46089576,0.506976297,67.42168742,38.08335878,86.41327163
2023_03_05,19.72997558,2358.711709,269.1882079,0,18.39997667,0.499053648,118.8025325,68.84411866,81.83824779
2023_03_05,20.22997558,2407.088399,262.0881492,0,18.31093927,0.494589343,52.90840648,49.24056145,75.15153947
2023_03_05,20.72997558,2441.333432,253.4954178,0,18.2296472,0.482845407,36.34721551,51.19220353,69.04650461
2023_03_05,21.22997558,2470.112449,239.166148,0,18.15856593,0.475292802,35.97402897,40.36636479,63.70830146
2023_03_05,21.72997558,2531.317153,242.1989233,0.477228571,18.08225273,0.4695558,63.61191222,34.98725073,57.9218212
2023_03_05,22.22997558,2539.334582,254.7855686,0,18.00354166,0.462372143,21.78226719,37.80922947,52.0659787
2023_03_05,22.72997558,2589.774812,263.056658,0,17.95451992,0.458593022,55.16077006,39.87115926,48.38444603
2023_03_05,23.22997558,2630.434498,250.8365528,0,17.87096012,0.453750711,45.68823492,58.63205315,42.10910533
2023_03_05,23.72997558,2646.031332,238.374828,0,17.82214585,0.444411418,19.36360582,37.0999393,38.44315344
2023_06_08,0.235094408,2018.825802,145.5902559,0,29.19806581,0.350306026,95.16698959,24.4670617,52.18538015
2023_06_08,0.735094408,2091.193093,151.8930958,0,29.14641115,0.348531865,75.56950969,32.44268086,48.59021577
2023_06_08,1.235094408,2154.083355,165.404444,0,29.08698157,0.345757595,67.11402504,37.51694984,44.45391716
2023_06_08,1.735094408,2235.647638,176.1911067,0,29.02958061,0.345135612,85.05483534,25.77739413,40.45881045
2023_06_08,2.235094408,2326.520135,179.7290634,0,28.97185994,0.343122528,94.97655125,29.27754072,36.44145167
2023_06_08,2.735094408,2412.075115,191.335309,0,28.91827162,0.343711652,88.91877648,35.42567059,32.71170444
2023_06_08,3.235094408,2520.730032,196.5878578,0,28.86283853,0.343671776,98.24852699,35.31555006,28.85356134
2023_06_08,3.735094408,2584.149378,200.3746434,0,28.82821134,0.3424761,58.77013351,31.02342259,26.44350943
2023_06_08,4.235094408,2636.066509,199.7849427,0,28.78418215,0.340845615,75.36534954,39.55576411,23.37907741
2023_06_08,4.735094408,2741.499241,207.9576266,1.113533333,28.73401164,0.341071567,103.2236243,32.80075914,19.71795277
2023_06_08,5.235094408,2860.652427,212.9144281,17.55452549,28.68808949,0.341451486,114.6869521,36.20252116,14.02274068
2023_06_08,5.735094408,2857.083664,226.8341999,65.74213464,28.65739766,0.338020968,11.22630919,43.90414553,4.562072599
2023_06_08,6.235094408,2799.176271,252.0687744,156.5933542,28.64991553,0.335739843,-59.55189921,48.34038754,-9.768069282
2023_06_08,6.735094408,2601.47346,235.3621285,308.5142353,28.6421064,0.334738796,-196.3436233,76.15050473,-33.4035582
2023_06_08,7.235094408,2455.748544,238.7416382,440.0421725,28.67659064,0.334761733,-148.3626828,113.0400759,-50.9957018
2023_06_08,7.735094408,2266.300828,241.1222626,607.8363621,28.74359833,0.334215407,-197.4217503,76.37657665,-71.83668348
